KundenNummer;KundenNummeralt;Titel;Vorname;Name-1;Name-2;Name-3;PO-BOX;Strasse;PLZ;Ort;Tel;Fax;UID;Prozent;Rechnungsanzahl;Anrede;Land;Email
139;0;0;;NÖ.LANDESREGIERUNG;Koordinierungsst. f. Umweltschutz;D.I. Steiner;;Neue Herrengasse/ Haus 16;3109;St. Pölten;;;KEINE;0,00;1;7;2;
140;0;0;;RIEDER & PARTNER GMBH;Herrn Rieder;;;Karriegelstrasse 56a;3021;Preßbaum;0664 2605762;;KEINE;0,00;1;4;2;
141;0;0;;Witsch und Behrendt;ZNL der Golthe + Schweitzer GmbH;;103743;;50477;KÖLN;0049 221 47697-10;;DE119263102;0,25;1;8;12;
142;0;0;Wolfgang;STÜRMER;;;;Pettenbacher Strasse 15;4655;Vorchdorf;;;KEINE;0,00;1;3;2;
143;0;6;Wolfgang;WAAGNER;;;;Bindergasse 8;5020;Salzburg;0662430323;;KEINE;0,00;1;3;2;
144;0;0;;WASSERSTRASSENDIREKTION;Abteilung 5;Reg.Rat Ing. Wanek;;Hetzgasse 2;1030;Wien;;;KEINE;0,00;1;0;2;
145;0;0;;TAMARIS;Book Import and Subscription;;;Petrinjska 11;10000;ZAGREB;;;KEINE;0,25;1;0;17;
146;0;0;;CREPAS Rinaldo;;;;Bosch da Plang 298;39030;LA VILLA;;;KEINE;0,00;1;5;15;
147;0;0;;DECIUS GmbH;;;;Marktstrasse 52;30159;HANNOVER;0511/3647640;0511/3647644;DE115648560;0,25;1;8;12;
148;0;6;Edmund;KRONAWETTER;;;;St. Martiner Strasse 25;9500;Villach;;;KEINE;0,00;1;3;2;
149;0;6;Anton;SCHABL;Schabl & Partner OEG;Technisches Büro & Unternehmensberatung;;Untere Viaduktgasse 53/5a;1030;Wien;+43-(0)1-503 75 90-0, +43-(0)699-1003 60 24;;KEINE;0,00;1;3;2;anton.schabl@schabl.at
150;0;12;Martin;GASPARICS;Vermessungsbüro;;;Auersperggasse 19;8010;Graz;0316/68 08 78...-0;0316/68 08 78-6;KEINE;0,00;1;3;2;office@vermessung-gasparics.at
151;0;0;;AOBC;Magazine Agency;;;550 Walnut Street;NJ 07648;NORWOOD;;;KEINE;0,25;1;0;29;
152;0;0;;PRENAX;Prenax Ab Prenumeration;;15122;;16115;BROMMA;+46 8 56410100;+46 8 56410109;SE556540747401;0,25;1;0;21;
153;0;0;;NAWIJN & POLAK;Subscription Department;;;Marktplein 24;7311 LR;APELDOORN;0031 55 5212709;;NL812701203B01;0,25;1;0;18;
154;0;0;;IFG-VERLAG;;;;Odenwaldring 38;63069;OFFENBACH;069 832051;069 843530;DE113603905;0,25;1;0;12;
155;0;6;Bernhard;WEGMANN;;;;Dr. Wigger-Strasse 16;82467;GARMISCH-PARTENKIRCHEN;;;KEINE;0,00;1;3;12;
156;0;0;;BRUNNER und STROBL;;;;Karlsgasse 12;3430;Tulln;02272 622 95;;KEINE;0,00;1;5;2;
157;0;9;Ronald;Ruzicka;Silmutationstechnik;;;Atzgersdorferstrasse 32;1230;Wien;01 888 36 10;01 888 36 10 49;KEINE;0,00;1;0;2;
158;0;6;Stefan;RUDIG;;;;Templstraße 14;6020;Innsbruck;;;KEINE;0,00;1;3;2;
159;0;0;;Institut f. Photogr. u. GeoInfo.;Leibniz Universität Hannover;;;Nienburger Strasse 1;30167;HANNOVER;;;DE811245527;0,00;1;0;12;
160;0;0;;Vyzkumny Ustav Geodeticky;Eva Lhotakova;;;Ustecka 98;25066;ZDIBY;;;CZ00025615;0,00;1;0;26;
161;0;9;Wolfgang;GOLD;;;;An der Lan-Str. 27/16;6020;Innsbruck;;;KEINE;0,00;1;3;2;
162;0;0;;Landesamt für Geoinformation; und Landentwicklung (LGL);Bibliothek;;Büchsenstrasse 54;70174;STUTTGART;;;DE147794090;0,00;1;0;12;heike.hackl@lgl.bwl.de
163;0;0;;GEOSPACE International GmbH;;;;Wasserfeldstraße 21;5020;Salzburg;0662 /45 81 15-0;0662/45 81 15-4;KEINE;0,00;1;0;2;office@geospace.at
164;0;0;;DIBIT Messtechnik GmbH;;;;Framsweg 16;6020;Innsbruck;;;KEINE;0,00;1;0;2;office@dibit.at
165;0;0;;Hessisches Landesamt für;Bodenmanagement und Geoinformation;Bibliothek;3249;Schaperstrasse 16;65195;WIESBADEN;0611/535-5332;0611/535-5551;DE113823657;0,00;1;0;12;silke.weber@hvbg.hessen.de
166;0;0;;Amt für Raumentwicklung und Geoinformation;Vermessung;;;Lämmlisbrunnenstrasse 54;9001;ST. GALLEN;+ 41 58 229 20 39;;KEINE;0,00;1;0;22;mario.graf@sg.ch
167;0;0;;Brenner Basistunnel EWIV;zH DI Rainer GASSER;;;Neuhauserstrasse 7;6020;Innsbruck;;;KEINE;0,00;1;0;2;
168;0;0;;KÄRNTNER LANDESREGIERUNG;Abt. 17V Vermessung und Grundverwaltung;;;Mießtalerstrasse 3;9021;Klagenfurt;;;KEINE;0,00;1;0;2;
169;0;0;;INNENMINISTERIUM;Niedersachsen;;221;;30002;HANNOVER;;;KEINE;0,00;1;0;12;
170;0;0;;GEODÄTISCHES INSTITUT;;Universität Stuttgart;;Geschwister-Scholl-Strasse 24/D;70174;STUTTGART;;;DE 147794196;0,00;1;0;12;
171;0;0;;Suomalainen Kirjakauppa Ltd.;Sanoma Finance Shared Services/;Accounts payable;106;;00089;SANOMA;+358 9 8527880;+358 9 8527990;FI02053616;0,25;1;0;10;ostolaskut@rautakirja.fi
172;0;0;;BIDER & TANNER AG;z.Hd. Frau Franziska Stocker;;;Aeschenvorstadt 2;4010;BASEL;004161/2069999;004161/2069990;KEINE;0,25;1;8;22;
173;0;0;;"Die Markscheider";DI Emmerich Schuscha;;;Franz Josef-Str. 8;8700;LEOBEN;03842 / 436 26;03842 / 436 26-75,  0664 / 350 06 25;KEINE;0,00;1;0;2;office@die-Markscheider.at
175;0;0;;ROMBACH GmbH + Co.;Handelshaus KG;;;Bertoldstraße 10;79098;FREIBURG;0761-4500-2400;0761-4500-2499;KEINE;0,00;1;0;12;
176;0;0;;ETV;Abt. Buchhaltung;;;Montebruchstraße 2;45219;ESSEN;;;KEINE;0,00;1;0;12;
177;0;0;;Z/I Imaging GmbH;;;;Ulmer Str. 124;73431; AALEN;07361 / 8895-0 Buchhaltung:089961060(München);07361 / 8895-29;DE 129386488;0,00;1;1;12;
178;0;0;;Schweitzer Sortiment Wien oHG;;;;Canovagasse 7/6;1010;Wien;5041675;;ATU50810706;0,00;1;0;2;
179;0;0;;LACHNER;;;;Theresienstraße 43+100;80333;MÜNCHEN;089/521350;;KEINE;0,00;1;8;12;
181;0;0;;STOCKMANN;AKATEEMINEN KIRJAKAUPPA;Subscription Services;23;;00381;HELSINKI;;;KEINE;0,00;1;0;10;
182;0;0;;Missing Link;;;;Westerstraße 114-116;28199;BREMEN;0421 504348;0421 504316;DE 114583647;0,25;1;8;12;
