KNummer;ANummer;HAnreden;HTitel;HVorname;HName1;HName2;HName3;POBH;HStrasse;HPLZI;HPLZ;HOrt;HLand;HGZ;Rückstand;Gutschrift;AAnreden;ATitel;AVorname;AName1;AName2;AName3;ALand;POBA;AStrasse;AOrt;APLZI;Aplz;UID;Prozen;Preis;Rechnungsanzahl;Heftanzahl;Gesamtpreis;Rabatt;Total;MwSt;UST;PREISbrutto;ABOAnfang;ABOEnde
13;17;;;;Landesdienstleistungszentrum;Bibliothek;;;Bahnhofplatz 1/6. OG;A;4021;Linz;AUSTRIA;127/1948;0,00;0,00;;;;Landesdienstleistungszentrum;Bibliothek;;AUSTRIA;;Bahnhofplatz 1/6. OG;Linz;A;4021;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1948 00:00:00;31.12.2011 00:00:00
14;18;;;;ÖBB Bau AG;Abt. Forschung u. Entwicklung;Herrn Dipl.-Ing. KLÖSCH Rupert;;Bahnhofstraße 3;A;4020;Linz;AUSTRIA;;0,00;0,00;;;;BUNDESBAHNDIREKTION LINZ;Abt. 8.3 Vermessung;Dipl.-Ing. KLÖSCH Rupert;AUSTRIA;;Bahnhofstraße 3;Linz;A;4020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1948 00:00:00;31.12.2007 00:00:00
15;20;;;;Salzburger Landesarchiv;Amtsbibliothek;;;Michael-Pacher-Straße 40;A;5010;Salzburg;AUSTRIA;4.12-5/151-1979;0,00;0,00;;;;SALZBURGER LANDESARCHIV;Amtsbibliothek;;AUSTRIA;;Michael-Pacher-Straße 40;Salzburg;A;5010;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1979 00:00:00;
17;32;;;;Austro Control - GmbH;Fachbibliothek;;;Schnirchgasse 11;A;1030;Wien;AUSTRIA;Nr. 64173;0,00;0,00;;;;AUSTRO CONTROL - GMBH;Fachbibliothek;;AUSTRIA;;Schnirchgasse 11;Wien;A;1030;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1979 00:00:00;31.12.2010 00:00:00
178;34;Buchhandlung;;;Schweitzer Sortiment;;;;Canovagasse;A;1010;Wien;AUSTRIA;21120-01/14808121;0,00;0,00;;;;Schweitzer Sortiment Wien oHG;;;AUSTRIA;;Canovagasse 7/6;Wien;A;1010;ATU50810706;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1992 00:00:00;31.12.2002 00:00:00
19;36;;;;Österr. Institut für Raumplanung;Bibliothek und Dokumentation;;562;;A;1011;Wien;AUSTRIA;Nr. 127;0,00;0,00;;;;ÖSTERR. INSTITUT FÜR RAUMPLANUNG;Bibliothek und Dokumentation;;AUSTRIA;562;;Wien;A;1011;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1981 00:00:00;31.12.2007 00:00:00
21;38;;;;Techn. Universität Wien;Universitätsbibliothek;Abteilung E-Ressourcen und Zeitschriften;;Resselgasse 4;A;1040;Wien;AUSTRIA;;0,00;0,00;;;;TECHN. UNIVERSITÄT WIEN;Universitätsbibliothek;Abt. E-Ressourcen und Zeitschriften (E120/5);AUSTRIA;;Resselgasse 4;Wien;A;1040;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1948 00:00:00;
22;41;;;;BEGAS Netz GmbH;;;;Kasernenstraße 10;A;7000;Eisenstadt;AUSTRIA;Nr.10442;0,00;0,00;;;;BEGAS Netz GmbH;;;AUSTRIA;;Kasernenstraße 10;Eisenstadt;A;7000;ATU65080379;0,00;60,00;0;0;0,00;-0,00;0,00;0,10;0,00;0,00;1.1.1984 00:00:00;31.12.2013 00:00:00
23;42;Amt der;;;NÖ. Landesregierung;Abt. B/7;;;Landhausplatz 1;A;3109;St. Pölten;AUSTRIA;;0,00;0,00;Amt der;;;NÖ.LANDESREGIERUNG;Abt. B/7;;AUSTRIA;;Landhausplatz 1;St. Pölten;A;3109;KEINE;0,00;60,00;1;2;120,00;-0,00;120,00;0,10;12,00;132,00;1.1.1986 00:00:00;
24;44;;;;Universität Innsbruck;Baufakultäts-Bibliothek;;;Technikerstraße 13;A;6020;Innsbruck;AUSTRIA;;0,00;0,00;;;;Leopold-Franzens-Universität Innsbruck;Quästur;;AUSTRIA;;Josef-Hirn-Straße 5-7;Innsbruck;A;6020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1986 00:00:00;31.12.2010 00:00:00
25;45;;;;Allgemeine Baugesellschaft - A.Porr AG;;z.H. Herrn DI Stefan Götz;;Absbergasse 47;A;1100;Wien;AUSTRIA;;0,00;0,00;;;;Carl Kravani KG;;;AUSTRIA;;Burggasse 100;Wien;A;1070;57060156;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1986 00:00:00;31.12.2007 00:00:00
26;46;;;;Wilhelm Frick GmbH;Abteilung Versand;;;Heizwerkstrasse 8;A;1230;Wien;AUSTRIA;sp;0,00;0,00;;;;Wilhelm Frick GmbH;Abteilung Versand;;AUSTRIA;;Heizwerkstrasse 8;Wien;A;1230;KEINE;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1992 00:00:00;
27;47;Amt der;;;NÖ. Landesregierung;NÖ.Landesbibliothek, Abt.III/4;;;Landhausplatz 1;A;3109;St. Pölten;AUSTRIA;DVR:0059986;0,00;0,00;Amt der;;;NÖ.LANDESREGIERUNG;NÖ.Landesbibliothek, Abt.III/4;;AUSTRIA;;Landhausplatz 1;St. Pölten;A;3109;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1987 00:00:00;
77;48;;;;Vorarlberger Illwerke A.G.;Bibliothek;;;Weidachstraße 6;A;6900;Bregenz;AUSTRIA;C5785444;101,25;0,00;;;;EBSCO International Inc., USA;c/o EBSCO Info Services GmbH;;GERMANY;;Sachsendamm 2-7;BERLIN;D;10829;ATU52940304;0,25;75,00;1;1;75,00;-18,75;157,50;0,00;0,00;157,50;1.1.2015 00:00:00;31.12.2016 00:00:00
28;50;;;;Magistrat Graz;Abteilung 10/6;Stadtvermessungsamt;;Europaplatz 20;A;8020;Graz;AUSTRIA;A 20-9/4-88;60,00;0,00;;;;Stadt Graz;e-rechnungen@stadt.graz.at;A8/3 - Abt. f. Rechnungswesen;AUSTRIA;;Tummelplatz 9;Graz;A;8011;KEINE;0,00;60,00;1;1;60,00;-0,00;120,00;0,10;12,00;132,00;1.1.1988 00:00:00;
77;52;;;;Fachhochschule Mainz;Bibliothek;;;Holzstraße 36;D;55116;MAINZ;GERMANY;ST7370667;0,00;0,00;;;;EBSCO International Inc., USA;c/o EBSCO Info Services GmbH;;GERMANY;;Sachsendamm 2-7;BERLIN;D;10829;ATU52940304;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2012 00:00:00
29;55;;;;Universitet for Miljoe &;Biovitenskap;IMT Biblioteket TF Kvartalet;5003;;N;1432;AAS;NORWAY;49270044;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1996 00:00:00;31.12.2007 00:00:00
32;58;;;;Fachhochschule Bochum;Hochschulbibliothek;Zeitschriftenverwaltung;;Lennershofstr. 140;D;44801;BOCHUM;GERMANY;BZ/Sch;0,00;0,00;;;;Fachhochschule Bochum;Hochschulbibliothek;Zeitschriftenverwaltung;GERMANY;;Lennershofstr. 140;BOCHUM;D;44801;DE127056614;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.1987 00:00:00;
33;63;;;;Struppe & Winckler GmbH & Co. KG;Fachbuchhandlung;;;Mohrenstr. 34 / Emporium;D;10117;BERLIN;GERMANY;192339.1.4408295;0,00;0,00;Fachbuchhandlung;;;Struppe & Winckler Berlin;Zweigniederlassung der;Sack Mediengruppe GmbH & Co.KG;GERMANY;;Mohrenstr. 34;BERLIN;D;10117;DE126048326;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.2002 00:00:00;31.12.2004 00:00:00
34;64;;;;Dr. Rudolf Habelt GmbH;Versandbuchhandlung;;150104;;D;53040;BONN;GERMANY;;0,00;0,00;Buchhandlung;;;Dr. Rudolf Habelt GmbH;;;GERMANY;150104;;BONN;D;53040;DE122113397;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1990 00:00:00;31.12.2006 00:00:00
35;67;;;;Buchhandlung Graff GmbH;;;;Sack 15;D;38100;BRAUNSCHWEIG;GERMANY;200142/12662;0,00;0,00;;;;Buchhandlung Graff GmbH;;;GERMANY;;Sack 15;BRAUNSCHWEIG;D;38100;DE242857418;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1965 00:00:00;31.12.2016 00:00:00
29;72;;;;Bibliotheek TU Delft;Mediaverwerking / Periodieken;114427;;Postbus 98;NL;2600;MG DELFT;THE NETHERLANDS;48887610;56,25;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;112,50;0,00;0,00;112,50;1.1.1993 00:00:00;
171;78;;;;TKK;Maanmittausos/ Kirjasto;;;PL 1200 (Otakaari 1);FI;02015;TKK;FINLAND;112122/21;0,00;0,00;;;;Suomalainen Kirjakauppa Ltd.;Sanoma Finance Shared Services/;Accounts payable;FINLAND;106;;SANOMA;FI;00089;FI02053616;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2007 00:00:00
39;80;Buchhandlung;;;Baedeker g.d. GmbH;;;100345;;D;4300;ESSEN 1;GERMANY;RHE-811;0,00;0,00;Buchhandlung;;;BAEDEKER G.D. GMBH;;;GERMANY;100345;;ESSEN 1;D;4300;DE119652470;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1989 00:00:00;31.12.2002 00:00:00
40;81;;;;Verlag Glückauf GmbH;Versandbuchhandlung;;185619;;D;45206;ESSEN;GERMANY;;0,00;0,00;;;;VERLAG GLÜCKAUF GmbH;Versandbuchhandlung;;GERMANY;185619;;ESSEN;D;45206;DE119673720;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1976 00:00:00;31.12.2003 00:00:00
41;85;;;;Fachbuchservice Frankfurt GmbH;;;;Neue Kräme 32;D;60311;FRANKFURT;GERMANY;FHS;0,00;0,00;;;;Fachbuchservice Frankfurt GmbH;;;GERMANY;;Neue Kräme 32;FRANKFURT 1;D;60311;DE151269224;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1994 00:00:00;
43;89;;Professor Dr. Ing.;Heinrich;Ebner;TU München/LSt. f. Photogr. u. Fernerk.;;;Arcisstraße 21;D;80290;MÜNCHEN;GERMANY;;0,00;0,00;;Univ. Prof. Dr. -Ing.;Heinrich;EBNER;TU München/LSt. f. Photogr. u. Fernerk.;;GERMANY;;Arcisstraße 21;MÜNCHEN;D;80290;KEINE;0,00;75,00;1;1;75,00;-0,00;75,00;0,10;7,50;82,50;1.1.1971 00:00:00;31.12.2001 00:00:00
29;91;;;;HafenCity Universität Hamburg;Informations- und Medienzentrum;;;Hebebrandstr. 1;D;22297;HAMBURG;GERMANY;42650570;0,00;0,00;;;;Swets Information Services B.V.;UKP;c/o P.O.Box 65;GROSSBRITANNIEN;;;ABINGDON - OXON OX14 1WA;GB;;NL808377632B01;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1981 00:00:00;31.12.2011 00:00:00
46;95;;;;Reinhold Gondrom GmbH & Co.KG;;;;Kerststr. 9-15;D;67655;KAISERSLAUTERN;GERMANY;Zt/UNI;0,00;0,00;;;;Reinhold Gondrom GmbH & Co.KG;;;GERMANY;;Kerststr. 9-15;KAISERSLAUTERN;D;67655;DE148632587;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1980 00:00:00;31.12.2010 00:00:00
73;96;;;;Linda Hall Library;Serials Department;;;5109 Cherry Street;USA;64110-2498;KANSAS CITY, MO;USA;740780;0,00;0,00;Buchhandlung;;;OTTO HARRASSOWITZ KG;;;GERMANY;;;WIESBADEN;D;65174;DE113897518;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1974 00:00:00;31.12.2017 00:00:00
48;97;;;;Kellner u. Moessner;Universitätsbuchhandlung;;;Kaiserstraße 18;D;76131;KARLSRUHE;GERMANY;AZ/FH;0,00;0,00;;;;KELLNER U. MOESSNER;Universitätsbuchhandlung;;GERMANY;;Kaiserstraße 18;KARLSRUHE 1;D;76131;DE143598512;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1981 00:00:00;31.12.2006 00:00:00
50;99;;;;Karlsruher Institut für Technologie (KIT);Campus Süd;Geodätisches Institut;;Englerstr. 7;D;76131;KARLSRUHE;GERMANY;;0,00;0,00;;;;Karlsruher Institut für Technologie (KIT);Campus Süd;Geodätisches Institut;GERMANY;;Englerstr. 7;KARLSRUHE;D;76131;DE266749428;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.1955 00:00:00;
51;101;;;;Landesvermessungsamt Schleswig-Holstein;;;5071;;D;24062;KIEL 1;GERMANY;;0,00;0,00;;;;LANDESVERMESSUNGSAMT SCHLESWIG-HOLSTEIN;;;GERMANY;5071;;KIEL;D;24062;KEINE;0,00;75,00;1;1;75,00;-0,00;75,00;0,10;7,50;82,50;1.1.1967 00:00:00;
52;102;;;;Landesamt für Vermessung und Geobasisinformation;Rheinland-Pfalz;;100341;;D;56033;KOBLENZ;GERMANY;o.1320/80;0,00;0,00;;;;LANDESAMT für Vermessung und Geobasisinformation;Rheinland-Pfalz;;GERMANY;;Von-KuhlStraße 49;KOBLENZ;D;56070;DE 148 722 907;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.1980 00:00:00;
53;104;;;;Reitzels C.A.;Boghandel A/S;;;Norregade 20;DK;1165;COPENHAGEN;DENMARK;3974;0,00;0,00;;;;REITZELS C.A.;Boghandel A/S;;DENMARK;;Norregade 20;COPENHAGEN;DK;1165;DK66406717;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1968 00:00:00;31.12.2002 00:00:00
54;107;;;;Landesamt für;Digitalisierung, Breitband und Vermessung;Regionalabteilung Ost;;Gestütstr. 10;D;84028;LANDSHUT;GERMANY;;0,00;0,00;Buchhandlung;;; DIETL;;;GERMANY;;Neustadt 458;LANDSHUT/BAYERN;D;84028;DE128870922;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1963 00:00:00;
178;113;;;;Gozdarski Institut Sloveniji;Gozdarska knjiz;;;Vecna pot 2;SLO;01000;LJUBLJANA;SLOVENIA;255060/0002|14001509;0,00;0,00;;;;Schweitzer Sortiment Wien oHG;;;AUSTRIA;;Canovagasse 7/6;Wien;A;1010;ATU50810706;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.2006 00:00:00;31.12.2006 00:00:00
189;128;;;;Lehmanns Media GmbH;siz service internationale Zeitschriften;;;Helmholtzstr. 2-9;D;10587;BERLIN;GERMANY;78926;0,00;0,00;Firma;;;Lehmanns Media GmbH;siz /  service internationale Zeitschriften;Abo 121548;GERMANY;;Helmholzstrasse 2-9;BERLIN;D;10587;DE811123673;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1971 00:00:00;
58;131;;;;MANZ'sche Verlags- und;Universitätsbuchhandlung GmbH;;;Gutheil-Schoder-Gasse 17, Halle C3;A;1230;Wien;AUSTRIA;288000/1;0,00;0,00;;;;Manzsche Verlags- und;Universitätsbuchhandlung GmbH;;AUSTRIA;;Gutheil-Schoder-Gasse 17/C;Wien;A;1230;ATU37181900;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1992 00:00:00;31.12.2009 00:00:00
58;132;;;;IAG Office;c/o Deutsches Geodätisches Forschungsinstitut;;;Alfons Goppelstrasse 11;D;80539;München;GERMANY;;0,00;0,00;;;;Manzsche Verlags- und;Universitätsbuchhandlung GmbH;;AUSTRIA;;Gutheil-Schoder-Gasse 17/C;Wien;A;1230;ATU37181900;0,25;60,00;1;2;120,00;-30,00;90,00;0,10;9,00;99,00;1.1.1975 00:00:00;1.7.2015 00:00:00
60;136;;;;Bibliothèque de l'Université Laval;Section des Acquisitions;Pav. J.-C. Bonenfant local 155;;2345 Allée des Bibliothèques;CDN;G1V 0A6;QUÉBEC;CANADA;12592-505353;56,25;0,00;;;;Librairie Universitaire du Québec Métro;Agence internationale d'abonnement;Pavillon Maurice-Pollack;CANADA;;22305, rue de l'Université, Local 0112;QUÉBEC, QC;CDN;G1V 0B4;KEINE;0,25;75,00;1;1;75,00;-18,75;112,50;0,00;0,00;112,50;1.1.1993 00:00:00;31.12.2016 00:00:00
61;145;;;;Universitätsbibliothek Stuttgart;;;104941;;D;70043;STUTTGART;GERMANY;sc;0,00;0,00;;;;UNIVERSITÄTSBIBLIOTHEK STUTTGART;;;GERMANY;104941;;STUTTGART;D;70043;DE147794196;0,00;75,00;1;1;75,00;-0,00;75,00;0,00;0,00;75,00;1.1.1973 00:00:00;
62;146;;;;Fachhochschule für Technik;Fachbereich Vermessungswesen;;101452;;D;70013;STUTTGART;GERMANY;44197;0,00;0,00;Buchhandlung;;;WITTWER KONRAD GESMBH;;;GERMANY;105343;;STUTTGART 10;D;70046;DE147641321;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2006 00:00:00
64;153;;;;Bibliothek am Guisanplatz (BiG);;Herr Walter Hadorn, (swisstopo);;Papiermühlestrasse 21A;CH;3003;BERN;SCHWEIZ;;0,00;0,00;;;;Bibliothek am Guisanplatz (BiG);Herr Walter Hadorn, (swisstopo);;SCHWEIZ;;Papiermühlenstr. 21A;BERN;CH;3003;KEINE;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1971 00:00:00;31.12.2010 00:00:00
172;170;;;;FHNW;Fachhochschule Nordwestschweiz;Bibliothek;;Gründenstrasse 40;CH;4132;MUTTENZ;SCHWEIZ;1190933;0,00;0,00;Buchhandlung;;;BIDER & TANNER AG;z.Hd. Frau Franziska Stocker;;SCHWEIZ;;Aeschenvorstadt 2;BASEL;CH;4010;KEINE;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2015 00:00:00
113;174;;;;OMV Austria Exploration &;Production GmbH;AUT-P Surveying & Geoinformation;;Protteser Strasse 40;A;2230;Gänserndorf;AUSTRIA;915240/1;0,00;0,00;;;;MINERVA;Wissenschaftliche Buchhandlung GmbH;;AUSTRIA;;Ignaz-Köck-Strasse 9;Wien;A;1210;ATU 14893203;0,25;60,00;1;1;60,00;-15,00;45,00;0,10;4,50;49,50;1.1.1993 00:00:00;31.12.2006 00:00:00
68;178;;Dipl.-Ing. Dr.;Kurt;Novak;;;;5671 Sheehan Court;USA;USA-43017;DUBLIN, OHIO;USA;;0,00;0,00;Fam.;;Kurt;NOVAK;;;AUSTRIA;;Bahnzeile 26;Mistelbach;A;2130;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1980 00:00:00;31.12.2003 00:00:00
70;181;;Ing.;Leopold;Orsolits;;;;Schrottgießergasse 3/12;A;1020;Wien;AUSTRIA;B1;0,00;0,00;;Ing.;Leopold;ORSOLITS;;;AUSTRIA;;Schrottgießergasse 3/12;Wien;A;1020;KEINE;0,00;60,00;1;1;60,00;-0,00;60,00;0,10;6,00;66,00;1.1.1990 00:00:00;
191;193;;;;Universitätsbuchhandlung Beneke GmbH;;;;Gartenstraße 18;D;72074;TÜBINGEN;GERMANY;Streisand-fs;0,00;0,00;;;;Universitätsbuchhandlung Beneke GmbH;;;GERMANY;;Gartenstraße 18;TÜBINGEN;D;72074;DE146891228;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.2005 00:00:00;31.12.2006 00:00:00
73;196;;;;UCSB Library;ARMS Department - Serials;University of California;;Bldg. 525, UCEN Road;USA;93106-9010;SANTA BARBARA, CA;USA;ZS /00084557;0,00;0,00;Buchhandlung;;;OTTO HARRASSOWITZ KG;;;GERMANY;;;WIESBADEN;D;65174;DE113897518;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2017 00:00:00
73;198;;;National Research Council;Canada Institute for Sti (mn);Serial Acquisitions;GST-No. R129347480;;Building M55 Montreal Road;CDN;K1A OS2;OTTAWA/ONTARIO;CANADA;ZS /00556629;0,00;0,00;Buchhandlung;;;OTTO HARRASSOWITZ KG;;;GERMANY;;;WIESBADEN;D;65174;DE113897518;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2003 00:00:00
73;199;;;;Library Tech Center;Ohio State University Libraries;Serials/Electronic Resources;;1165 Kinnear Road;USA;;COLUMBUS, OH 43212;USA;96154812;0,00;0,00;Buchhandlung;;;OTTO HARRASSOWITZ KG;;;GERMANY;;;WIESBADEN;D;65174;DE113897518;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.2005 00:00:00;
73;201;;;;UCLA Maps & Govt Serials;11020 Kinross;Box 957230;;;USA;;LOS ANGELES, CA 90095-7230;USA;ZS /00556688;0,00;0,00;Buchhandlung;;;OTTO HARRASSOWITZ KG;;;GERMANY;;;WIESBADEN;D;65174;DE113897518;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2013 00:00:00
147;439;;;;Decius GmbH;Fachbuchhandlung;;;Marktstraße 52;D;30159;HANNOVER;GERMANY;24245-0001/24002480/;0,00;0,00;Buchhandlung;;;DECIUS GmbH;;;GERMANY;;Marktstrasse 52;HANNOVER;D;30159;DE115648560;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1997 00:00:00;
78;906;Buchhandlung;;;Mayersche direkt;Versandhandel und Service;;;Prager Ring 106;D;52070;AACHEN;GERMANY;32791;0,00;0,00;;;;Mayersche Buchhandlung KG;Buchhaltung MDI;;GERMANY;;Matthiashofstr. 28-30;AACHEN;D;52064;DE811126776;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2005 00:00:00
79;909;;;;ims Internationaler Medien Service;c/o Logwin Solutions Media GmbH;;;;D;13578;BERLIN;GERMANY;BE2014906;0,00;0,00;;;;ims Internationaler Medien Service;GmbH & Co. KG;;GERMANY;;Süderstraße 77;HAMBURG;D;20097;DE814865171;0,25;75,00;1;1;75,00;-18,75;56,25;0,00;0,00;56,25;1.1.1993 00:00:00;31.12.2012 00:00:00
